id,neighbourhood_group_name,neighbourhood_Name
2381363,Tasman District,Moutere-Waimea Ward
2387050,Auckland,Albany Ward
2387464,Whanganui District,Area Outside Ward
2396964,Central Otago District,Vincent Ward
2406815,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2407473,Kapiti Coast District,Paraparaumu Ward
2407866,Christchurch City,Banks Peninsula Ward
2413053,Queenstown-Lakes District,Arrowtown Ward
2413741,Auckland,Albert-Eden-Puketāpapa Ward
2425326,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2425954,Lower Hutt City,Harbour Ward
2432485,Lower Hutt City,Harbour Ward
2438009,Kapiti Coast District,Waikanae Ward
2441512,Auckland,Ōrākei Ward
2448765,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2448770,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2449105,Thames-Coromandel District,Mercury Bay Ward
2454821,Christchurch City,Cashmere Ward
2454937,Tasman District,Moutere-Waimea Ward
2479444,Tasman District,Motueka Ward
2479718,Nelson City,Area Outside Ward
2484414,Whangarei District,Bream Bay Ward
2488407,Auckland,Waitematā and Gulf Ward
2488707,Hastings District,Hastings-Havelock North Ward
2490278,Whangarei District,Bream Bay Ward
2496784,Auckland,Ōrākei Ward
2501338,Auckland,Waitematā and Gulf Ward
2501903,Rotorua District,Area Outside Ward
2503049,Tasman District,Moutere-Waimea Ward
2503754,Western Bay of Plenty District,Katikati-Waihi Beach Ward
2510387,Hastings District,Hastings-Havelock North Ward
2516445,Auckland,Albert-Eden-Puketāpapa Ward
2516991,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2519901,Hastings District,Hastings-Havelock North Ward
2521432,Wellington City,Motukairangi/Eastern Ward
2521592,Ōpōtiki District,Waioeka-Waiotahi Ward
2521931,Dunedin City,Area Outside Ward
2522148,Tasman District,Moutere-Waimea Ward
2526031,Whangarei District,Whangarei Heads Ward
2526407,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2526857,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2532139,Far North District,Bay of Islands-Whangaroa Ward
2538881,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2548290,Timaru District,Pleasant Point-Temuka Ward
2554194,Thames-Coromandel District,Mercury Bay Ward
2554870,Queenstown-Lakes District,Wanaka Ward
2558325,Auckland,Rodney Ward
2571159,Marlborough District,Marlborough Sounds Ward
2571301,Nelson City,Area Outside Ward
2571624,Nelson City,Area Outside Ward
2571828,Taupo District,Taupō Ward
2572267,Christchurch City,Harewood Ward
2585374,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2585475,Auckland,Waitematā and Gulf Ward
2593289,Auckland,Waitematā and Gulf Ward
2594277,Hamilton City,West Ward
2594575,Auckland,Albany Ward
2595053,Auckland,Albert-Eden-Puketāpapa Ward
2595227,Whanganui District,Area Outside Ward
2601528,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2614664,Thames-Coromandel District,Mercury Bay Ward
2665782,Auckland,Ōrākei Ward
2678073,Nelson City,Area Outside Ward
2686776,Auckland,Waitematā and Gulf Ward
2693246,Whangarei District,Whangarei Heads Ward
2696053,Wellington City,Pukehīnau/Lambton Ward
2710376,Queenstown-Lakes District,Wanaka Ward
2723589,Queenstown-Lakes District,Queenstown-Wakatipu Ward
2723640,Christchurch City,Cashmere Ward
2730117,Hastings District,Heretaunga Ward
2739132,Queenstown-Lakes District,Wanaka Ward
2748395,Hauraki District,Waihi Ward
2748641,Auckland,Albany Ward
